"id","path_id","level_id","component_added","stress","median","verification","diff","context_name","context_type","component_type"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",14,15996686,"gradual",-3825189,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",16,24052676,"gradual",-6055145,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",18,33550943,"gradual",-8362861,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",20,42195611,"gradual",-12302452,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",22,55770163,"gradual",-16000926,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",24,70096187,"gradual",-20746698,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",26,87885568,"gradual",-25177657,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",28,108308137,"gradual",-34696252,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",30,125485085,"gradual",-40379190,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",32,160135016,"gradual",-51220071,"tree_has_right","fold","pred_inst"
"279ccafe8b5f720c6e0fe2b660321f3b",3,68,"p.context.6.pred.acc.89",26,137589429,"gradual",-1864648,"context","pred","acc"
"279ccafe8b5f720c6e0fe2b660321f3b",3,68,"p.context.6.pred.acc.89",30,187367685,"gradual",-3482365,"context","pred","acc"
"365a38573dd4f6f5af20e858f53e486e",0,69,"m.tree_has_right.2.post.pred_inst.67",26,86118570,"gradual",-2888971,"tree_has_right","post","pred_inst"
"365a38573dd4f6f5af20e858f53e486e",0,69,"m.tree_has_right.2.post.pred_inst.67",28,106891351,"gradual",-2041310,"tree_has_right","post","pred_inst"
"365a38573dd4f6f5af20e858f53e486e",0,69,"m.tree_has_right.2.post.pred_inst.67",30,133572762,"gradual",-2165020,"tree_has_right","post","pred_inst"
"365a38573dd4f6f5af20e858f53e486e",0,69,"m.tree_has_right.2.post.pred_inst.67",32,162888743,"gradual",-2517090,"tree_has_right","post","pred_inst"
"279ecafe8b5f720c6e0fe2b660325f3b",3,70,"m.main.5.inv.pred_inst.12",28,171342838,"gradual",-1703123,"main","inv","pred_inst"
"1a8fb371bc789256b75451d57f2a7f61",7,70,"m.main.5.inv.default.10",32,68431692,"gradual",-1905296,"main","inv","default"
"ac43b8dabc7773ff5058aba575e9c6b",1,71,"p.context.6.pred.acc.89",30,87919308,"gradual",-1786823,"context","pred","acc"
"279ecafe8b5f720c6e0fe2b660b25f3b",3,71,"p.subtreeHelper.6.pred.default.102",32,245326270,"gradual",-3332443,"subtreeHelper","pred","default"
"365a38573df4f6f5af20e858f5be48ee",0,72,"p.subtreeHelper.6.pred.acc.118",26,86817725,"gradual",-1668822,"subtreeHelper","pred","acc"
"279ecafe8b5f720c6e0feab660b25f3b",3,72,"p.context.6.pred.acc.82",26,137070179,"gradual",-2761488,"context","pred","acc"
"279ecafe8b5f720c6e0feab660b25f3b",3,72,"p.context.6.pred.acc.82",30,186547647,"gradual",-2617553,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",14,4574152,"gradual",-2046875,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",18,6989293,"gradual",-2954835,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",20,7439785,"gradual",-3931461,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",22,8916392,"gradual",-4976695,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",24,9224271,"gradual",-5122254,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",26,12573512,"gradual",-7402355,"context","pred","acc"
