"conjuncts","type","path_id","level_id"
1099,"static",2,102
1099,"static",2,103
1107,"static",2,104
1115,"static",2,105
1174,"static",2,106
1220,"static",2,107
1236,"static",2,108
1315,"static",2,109
1317,"static",2,110
1327,"static",2,111
1343,"static",2,112
1347,"static",2,113
1347,"static",2,114
1351,"static",2,115
1355,"static",2,116
1355,"static",2,117
1359,"static",2,118
1359,"static",2,119
1359,"static",2,120
1362,"static",2,121
1404,"static",2,122
1414,"static",2,123
1419,"static",2,124
1459,"static",2,125
181,"static",3,1
181,"static",3,2
181,"static",3,3
69,"static",3,4
69,"static",3,5
71,"static",3,6
73,"static",3,7
82,"static",3,8
83,"static",3,9
85,"static",3,10
85,"static",3,11
88,"static",3,12
90,"static",3,13
90,"static",3,14
90,"static",3,15
91,"static",3,16
94,"static",3,17
93,"static",3,18
93,"static",3,19
99,"static",3,20
99,"static",3,21
99,"static",3,22
100,"static",3,23
106,"static",3,24
117,"static",3,25
120,"static",3,26
120,"static",3,27
121,"static",3,28
121,"static",3,29
121,"static",3,30
167,"static",3,31
167,"static",3,32
167,"static",3,33
229,"static",3,34
229,"static",3,35
245,"static",3,36
245,"static",3,37
246,"static",3,38
248,"static",3,39
250,"static",3,40
252,"static",3,41
264,"static",3,42
268,"static",3,43
268,"static",3,44
268,"static",3,45
270,"static",3,46
272,"static",3,47
280,"static",3,48
280,"static",3,49
281,"static",3,50
283,"static",3,51
283,"static",3,52
285,"static",3,53
298,"static",3,54
298,"static",3,55
298,"static",3,56
301,"static",3,57
302,"static",3,58
304,"static",3,59
306,"static",3,60
319,"static",3,61
326,"static",3,62
339,"static",3,63
345,"static",3,64
347,"static",3,65
348,"static",3,66
367,"static",3,67
382,"static",3,68
386,"static",3,69
386,"static",3,70
386,"static",3,71
388,"static",3,72
388,"static",3,73
388,"static",3,74
412,"static",3,75
412,"static",3,76
402,"static",3,77
413,"static",3,78
784,"static",3,79
788,"static",3,80
894,"static",3,81
898,"static",3,82
880,"static",3,83
883,"static",3,84
886,"static",3,85
889,"static",3,86
893,"static",3,87
897,"static",3,88
985,"static",3,89
1057,"static",3,90
1059,"static",3,91
1171,"static",3,92
1179,"static",3,93
1179,"static",3,94
1181,"static",3,95
1185,"static",3,96
1206,"static",3,97
1211,"static",3,98
1215,"static",3,99
1219,"static",3,100
1233,"static",3,101
1255,"static",3,102
1255,"static",3,103
1259,"static",3,104
1263,"static",3,105
1349,"static",3,106
1358,"static",3,107
1370,"static",3,108
1370,"static",3,109
1370,"static",3,110
1375,"static",3,111
1379,"static",3,112
1379,"static",3,113
1426,"static",3,114
1442,"static",3,115
1442,"static",3,116
1448,"static",3,117
1458,"static",3,118
1458,"static",3,119
1462,"static",3,120
1522,"static",3,121
1522,"static",3,122
1522,"static",3,123
1522,"static",3,124
1529,"static",3,125
181,"static",4,1
181,"static",4,2
181,"static",4,3
181,"static",4,4
181,"static",4,5
181,"static",4,6
181,"static",4,7
181,"static",4,8
181,"static",4,9
181,"static",4,10
181,"static",4,11
186,"static",4,12
186,"static",4,13
188,"static",4,14
188,"static",4,15
190,"static",4,16
78,"static",4,17
78,"static",4,18
78,"static",4,19
85,"static",4,20
87,"static",4,21
91,"static",4,22
93,"static",4,23
93,"static",4,24
95,"static",4,25
95,"static",4,26
94,"static",4,27
94,"static",4,28
96,"static",4,29
96,"static",4,30
96,"static",4,31
95,"static",4,32
95,"static",4,33
198,"static",4,34
