"id","path_id","level_id","component_added","stress","median","verification","diff"
"4562168002ef221de066",0,31,"m.list_insert.4.unfold.49",60,2694904,"gradual",-250400
"726afa18c0255310c188",1,31,"p.sortedSeg.6.pred.71",32,1356900,"gradual",-189435
"1b1a00104f290f077b12",7,31,"m.list_insert.3.fold.61",20,1280635,"gradual",-223896
"1b1a00104f290f077b12",7,31,"m.list_insert.3.fold.61",48,2206248,"gradual",-198193
"1b1a00104f290f077b12",7,31,"m.list_insert.3.fold.61",52,2366453,"gradual",-186619
"1b1a00104f290f077b12",7,31,"m.list_insert.3.fold.61",64,3085580,"gradual",-261515
"10203d0086bc97b75825",3,32,"p.sortedSeg.6.pred.73",52,2301726,"gradual",-293194
"10203d0086bc97b75825",3,32,"p.sortedSeg.6.pred.73",56,2550909,"gradual",-223049
"10203d0086bc97b75825",3,32,"p.sortedSeg.6.pred.73",60,2862458,"gradual",-226623
"10203d0086bc97b75825",3,32,"p.sortedSeg.6.pred.73",64,2895313,"gradual",-219432
"726afa1cc2255310c188",1,33,"m.appendLemmaLoopBody.2.post.28",56,2387711,"gradual",-235822
"6835a2da152943ce2422",2,33,"m.main.5.inv.68",28,1365397,"gradual",-222181
"6835a2da152943ce2422",2,33,"m.main.5.inv.68",64,2977637,"gradual",-258379
"18203d0086bc97b75825",3,33,"m.appendLemmaAfterLoopBody.1.pre.3",44,1825366,"gradual",-201324
"18223d0086bc97b75825",3,34,"m.appendLemmaAfterLoopBody.4.unfold.13",8,917542,"gradual",-212305
"18223d0086bc97b75825",3,34,"m.appendLemmaAfterLoopBody.4.unfold.13",28,1350178,"gradual",-224052
"44ad3593a28909bc0f22",6,34,"m.list_insert.5.inv.51",40,1736100,"gradual",-688506
"68b5aada152943ce2422",2,35,"m.appendLemmaLoopBody.1.pre.19",56,2440132,"gradual",-254988
"43805fd31459784ccec0",4,35,"m.list_insert.2.post.43",44,1975438,"gradual",-280049
"43805fd31459784ccec0",4,35,"m.list_insert.2.post.43",48,2116314,"gradual",-385622
"43805fd31459784ccec0",4,35,"m.list_insert.2.post.43",52,2293235,"gradual",-276165
"43805fd31459784ccec0",4,35,"m.list_insert.2.post.43",56,2408924,"gradual",-424812
"43805fd31459784ccec0",4,35,"m.list_insert.2.post.43",60,2680582,"gradual",-301047
"43805fd31459784ccec0",4,35,"m.list_insert.2.post.43",64,2862106,"gradual",-254989
"18223d0087bc97b75c25",3,36,"m.main.5.inv.68",12,970366,"gradual",-186059
"18223d0087bc97b75c25",3,36,"m.main.5.inv.68",20,1137271,"gradual",-453302
"18223d0087bc97b75c25",3,36,"m.main.5.inv.68",28,1356539,"gradual",-212511
"18223d0087bc97b75c25",3,36,"m.main.5.inv.68",32,1469865,"gradual",-211071
"18223d0087bc97b75c25",3,36,"m.main.5.inv.68",48,2051525,"gradual",-194262
"18223d0087bc97b75c25",3,36,"m.main.5.inv.68",64,2840697,"gradual",-241641
"44f48317e2510c50779b",5,36,"m.appendLemmaLoopBody.2.post.31",44,1889996,"gradual",-192952
"4572169016ef221dea66",0,37,"m.appendLemmaLoopBody.4.unfold.34",36,1735021,"gradual",-187910
"4572169016ef221dea66",0,37,"m.appendLemmaLoopBody.4.unfold.34",52,2509015,"gradual",-200376
"45ad3593a2c909bccf62",6,39,"m.create_list.3.fold.40",20,1063405,"gradual",-232315
"457a169016ef221deae7",0,40,"m.appendLemmaAfterLoopBody.2.post.11",8,985995,"gradual",-252115
