"conjuncts","type","path_id","level_id"
1899,"static",7,25
1908,"static",7,26
1924,"static",7,27
1940,"static",7,28
1943,"static",7,29
1946,"static",7,30
3002,"static",7,31
3002,"static",7,32
3003,"static",7,33
3003,"static",7,34
3011,"static",7,35
3013,"static",7,36
3017,"static",7,37
3195,"static",7,38
3195,"static",7,39
3204,"static",7,40
3208,"static",7,41
6000,"static",7,42
6001,"static",7,43
6036,"static",7,44
6059,"static",7,45
6067,"static",7,46
6389,"static",7,47
6743,"static",7,48
6747,"static",7,49
6755,"static",7,50
6759,"static",7,51
6776,"static",7,52
6792,"static",7,53
6810,"static",7,54
6837,"static",7,55
6837,"static",7,56
6869,"static",7,57
6901,"static",7,58
6905,"static",7,59
6920,"static",7,60
6951,"static",7,61
6951,"static",7,62
7019,"static",7,63
7030,"static",7,64
7062,"static",7,65
13946,"static",7,66
13946,"static",7,67
13988,"static",7,68
13996,"static",7,69
14006,"static",7,70
14076,"static",7,71
14205,"static",7,72
14207,"static",7,73
14209,"static",7,74
15681,"static",7,75
15974,"static",7,76
15976,"static",7,77
1260,"total",0,1
2244,"total",0,2
2284,"total",0,3
2284,"total",0,4
2388,"total",0,5
2436,"total",0,6
2444,"total",0,7
2457,"total",0,8
2477,"total",0,9
2485,"total",0,10
2493,"total",0,11
2502,"total",0,12
2603,"total",0,13
2608,"total",0,14
2880,"total",0,15
5056,"total",0,16
5065,"total",0,17
5065,"total",0,18
5131,"total",0,19
5133,"total",0,20
5135,"total",0,21
5203,"total",0,22
5310,"total",0,23
5380,"total",0,24
5768,"total",0,25
5904,"total",0,26
5906,"total",0,27
5911,"total",0,28
6019,"total",0,29
6025,"total",0,30
11893,"total",0,31
12149,"total",0,32
12146,"total",0,33
12146,"total",0,34
12154,"total",0,35
12160,"total",0,36
12164,"total",0,37
12334,"total",0,38
12500,"total",0,39
12508,"total",0,40
12509,"total",0,41
12521,"total",0,42
13673,"total",0,43
13673,"total",0,44
14261,"total",0,45
14261,"total",0,46
14393,"total",0,47
14535,"total",0,48
14663,"total",0,49
14677,"total",0,50
14683,"total",0,51
14833,"total",0,52
14851,"total",0,53
14859,"total",0,54
14865,"total",0,55
14997,"total",0,56
15074,"total",0,57
15151,"total",0,58
15285,"total",0,59
15289,"total",0,60
15406,"total",0,61
15420,"total",0,62
16208,"total",0,63
16338,"total",0,64
17514,"total",0,65
18068,"total",0,66
19062,"total",0,67
19064,"total",0,68
19076,"total",0,69
19211,"total",0,70
19217,"total",0,71
19218,"total",0,72
28498,"total",0,73
28566,"total",0,74
28588,"total",0,75
29876,"total",0,76
29876,"total",0,77
32488,"total",0,78
32619,"total",0,79
32619,"total",1,79
32619,"total",2,79
32619,"total",3,79
32619,"total",4,79
32619,"total",5,79
32619,"total",6,79
32619,"total",7,79
1360,"total",1,1
1396,"total",1,2
1409,"total",1,3
1430,"total",1,4
1483,"total",1,5
1491,"total",1,6
1569,"total",1,7
1628,"total",1,8
1674,"total",1,9
1675,"total",1,10
1681,"total",1,11
1683,"total",1,12
1685,"total",1,13
1785,"total",1,14
1819,"total",1,15
1826,"total",1,16
1826,"total",1,17
1904,"total",1,18
1907,"total",1,19
1943,"total",1,20
1946,"total",1,21
1952,"total",1,22
1972,"total",1,23
1974,"total",1,24
1978,"total",1,25
1980,"total",1,26
1989,"total",1,27
2030,"total",1,28
2038,"total",1,29
2438,"total",1,30
2442,"total",1,31
2457,"total",1,32
2515,"total",1,33
3763,"total",1,34
3767,"total",1,35
3772,"total",1,36
3785,"total",1,37
3786,"total",1,38
4086,"total",1,39
4496,"total",1,40
4536,"total",1,41
4546,"total",1,42
4603,"total",1,43
4603,"total",1,44
4605,"total",1,45
4639,"total",1,46
4659,"total",1,47
4665,"total",1,48
4665,"total",1,49
4857,"total",1,50
4925,"total",1,51
4924,"total",1,52
5126,"total",1,53
7430,"total",1,54
7457,"total",1,55
7484,"total",1,56
7534,"total",1,57
7532,"total",1,58
7532,"total",1,59
7544,"total",1,60
7961,"total",1,61
7965,"total",1,62
8073,"total",1,63
8233,"total",1,64
8247,"total",1,65
8309,"total",1,66
8331,"total",1,67
14915,"total",1,68
14981,"total",1,69
14993,"total",1,70
15637,"total",1,71
15739,"total",1,72
15805,"total",1,73
16381,"total",1,74
16451,"total",1,75
16521,"total",1,76
32613,"total",1,77
32613,"total",1,78
32613,"total",7,78
1292,"total",2,1
1309,"total",2,2
1465,"total",2,3
1468,"total",2,4
1470,"total",2,5
1494,"total",2,6
1534,"total",2,7
1534,"total",2,8
1535,"total",2,9
1548,"total",2,10
2788,"total",2,11
2792,"total",2,12
2893,"total",2,13
2933,"total",2,14
2944,"total",2,15
3014,"total",2,16
3164,"total",2,17
3168,"total",2,18
4880,"total",2,19
4897,"total",2,20
4965,"total",2,21
4969,"total",2,22
4976,"total",2,23
4995,"total",2,24
5001,"total",2,25
5021,"total",2,26
5025,"total",2,27
5355,"total",2,28
5403,"total",2,29
5449,"total",2,30
5589,"total",2,31
5601,"total",2,32
5601,"total",2,33
5601,"total",2,34
5635,"total",2,35
5843,"total",2,36
5844,"total",2,37
5940,"total",2,38
6312,"total",2,39
6382,"total",2,40
6799,"total",2,41
6959,"total",2,42
6964,"total",2,43
7288,"total",2,44
7294,"total",2,45
7360,"total",2,46
7372,"total",2,47
7408,"total",2,48
7414,"total",2,49
7542,"total",2,50
14832,"total",2,51
14900,"total",2,52
16628,"total",2,53
27348,"total",2,54
27352,"total",2,55
27365,"total",2,56
27369,"total",2,57
27392,"total",2,58
27542,"total",2,59
27548,"total",2,60
27541,"total",2,61
27559,"total",2,62
27733,"total",2,63
27736,"total",2,64
27807,"total",2,65
27813,"total",2,66
27819,"total",2,67
27894,"total",2,68
27962,"total",2,69
27962,"total",2,70
28346,"total",2,71
29634,"total",2,72
29975,"total",2,73
29977,"total",2,74
29999,"total",2,75
32611,"total",2,76
32620,"total",2,77
32617,"total",2,78
1309,"total",3,1
1184,"total",3,2
1284,"total",3,3
1286,"total",3,4
1292,"total",3,5
1294,"total",3,6
1400,"total",3,7
1413,"total",3,8
1445,"total",3,9
1523,"total",3,10
1533,"total",3,11
1550,"total",3,12
2566,"total",3,13
2606,"total",3,14
2626,"total",3,15
2628,"total",3,16
2648,"total",3,17
2694,"total",3,18
2698,"total",3,19
2707,"total",3,20
2727,"total",3,21
4927,"total",3,22
4929,"total",3,23
5346,"total",3,24
5347,"total",3,25
5671,"total",3,26
5679,"total",3,27
5700,"total",3,28
5732,"total",3,29
5772,"total",3,30
5775,"total",3,31
5816,"total",3,32
5836,"total",3,33
5840,"total",3,34
5841,"total",3,35
5841,"total",3,36
5865,"total",3,37
5947,"total",3,38
5961,"total",3,39
5981,"total",3,40
5985,"total",3,41
6023,"total",3,42
6037,"total",3,43
6054,"total",3,44
11914,"total",3,45
12054,"total",3,46
12312,"total",3,47
12378,"total",3,48
12417,"total",3,49
23793,"total",3,50
25737,"total",3,51
28349,"total",3,52
28346,"total",3,53
28354,"total",3,54
28376,"total",3,55
28378,"total",3,56
28414,"total",3,57
28491,"total",3,58
28525,"total",3,59
28525,"total",3,60
28603,"total",3,61
28627,"total",3,62
29215,"total",3,63
29224,"total",3,64
29238,"total",3,65
29392,"total",3,66
32256,"total",3,67
32264,"total",3,68
32394,"total",3,69
32471,"total",3,70
32479,"total",3,71
32479,"total",3,72
32596,"total",3,73
32597,"total",3,74
32597,"total",3,75
32610,"total",3,76
32611,"total",3,77
32617,"total",3,78
1256,"total",4,1
1288,"total",4,2
1294,"total",4,3
1315,"total",4,4
1391,"total",4,5
1415,"total",4,6
1451,"total",4,7
1455,"total",4,8
1611,"total",4,9
2907,"total",4,10
2925,"total",4,11
2929,"total",4,12
2969,"total",4,13
2969,"total",4,14
3012,"total",4,15
5914,"total",4,16
5911,"total",4,17
5917,"total",4,18
6047,"total",4,19
6769,"total",4,20
6769,"total",4,21
6770,"total",4,22
6904,"total",4,23
6907,"total",4,24
6909,"total",4,25
6949,"total",4,26
6955,"total",4,27
7019,"total",4,28
7087,"total",4,29
7158,"total",4,30
7159,"total",4,31
7159,"total",4,32
7163,"total",4,33
8059,"total",4,34
8189,"total",4,35
8193,"total",4,36
8343,"total",4,37
8352,"total",4,38
7846,"total",4,39
7850,"total",4,40
7980,"total",4,41
8070,"total",4,42
13862,"total",4,43
13870,"total",4,44
13871,"total",4,45
13873,"total",4,46
14867,"total",4,47
14873,"total",4,48
14886,"total",4,49
14903,"total",4,50
15033,"total",4,51
15165,"total",4,52
15173,"total",4,53
15308,"total",4,54
15450,"total",4,55
15582,"total",4,56
16170,"total",4,57
16184,"total",4,58
16190,"total",4,59
16204,"total",4,60
16336,"total",4,61
17112,"total",4,62
17888,"total",4,63
18020,"total",4,64
18024,"total",4,65
18027,"total",4,66
18615,"total",4,67
18623,"total",4,68
18786,"total",4,69
18783,"total",4,70
19571,"total",4,71
19749,"total",4,72
20311,"total",4,73
20325,"total",4,74
30949,"total",4,75
31845,"total",4,76
32165,"total",4,77
32619,"total",4,78
1280,"total",5,1
1307,"total",5,2
1319,"total",5,3
1319,"total",5,4
1378,"total",5,5
1534,"total",5,6
1554,"total",5,7
1554,"total",5,8
1554,"total",5,9
1551,"total",5,10
1553,"total",5,11
1565,"total",5,12
1601,"total",5,13
1604,"total",5,14
1716,"total",5,15
1716,"total",5,16
1729,"total",5,17
1947,"total",5,18
1952,"total",5,19
1959,"total",5,20
1991,"total",5,21
2049,"total",5,22
2060,"total",5,23
