"permutation_id","program_name","percent_specified","mean"
5426,"list",74.3,2.449792495
5426,"list",74.3,0.042960138
5426,"list",74.3,0.295804455
5428,"composite",53.4,0.004161988
5428,"composite",53.4,0.766752489
5428,"composite",53.4,0.011605079
5428,"composite",53.4,0.692043181
5429,"avlja",49.7,0.003848906
5429,"avlja",49.7,18.479596237
5429,"avlja",49.7,0.038939991
5429,"avlja",49.7,2.059574834
5430,"bst",86.2,0.006317919
5430,"bst",86.2,0.336116658
5430,"bst",86.2,0.007800886
5430,"bst",86.2,0.348148789
5432,"list",75.2,0.002141392
5432,"list",75.2,2.58728032
5432,"list",75.2,0.041875912
5432,"list",75.2,0.291424464
5433,"avlja",50.3,0.003701712
5433,"avlja",50.3,18.134705069
5433,"avlja",50.3,0.04169692
5433,"avlja",50.3,2.075093561
5435,"composite",54,0.003820939
5435,"composite",54,0.74479923
5435,"composite",54,0.01199417
5435,"composite",54,0.717594568
5436,"bst",86.6,0.006319122
5436,"bst",86.6,0.345333017
5436,"bst",86.6,0.007999302
5436,"bst",86.6,0.354187357
5437,"list",76.1,0.00213475
5437,"list",76.1,2.783336114
5437,"list",76.1,0.043740878
5437,"list",76.1,0.301592014
5440,"composite",54.7,0.003638719
5440,"composite",54.7,0.758645818
5440,"composite",54.7,0.012162307
5440,"composite",54.7,0.718626311
5441,"avlja",50.8,0.003706603
5441,"avlja",50.8,18.579077729
5441,"avlja",50.8,0.038248915
5441,"avlja",50.8,1.891258574
5442,"bst",87.1,0.006285878
5442,"bst",87.1,0.33988821
5442,"bst",87.1,0.007970823
5442,"bst",87.1,0.348838524
5444,"list",77.1,0.002106143
5444,"list",77.1,2.871259355
5444,"list",77.1,0.049965617
5444,"list",77.1,0.305123226
5445,"avlja",51.3,0.003895857
5445,"avlja",51.3,17.994851557
5445,"avlja",51.3,0.038040152
5445,"avlja",51.3,2.072229182
5447,"composite",55.3,0.004212771
5447,"composite",55.3,0.766955007
5447,"composite",55.3,0.0123272
5447,"composite",55.3,0.732164679
5448,"bst",87.6,0.006405398
5448,"bst",87.6,0.372772176
5448,"bst",87.6,0.008277659
5448,"bst",87.6,0.356150428
5449,"list",78,0.002155083
5449,"list",78,2.780239985
5449,"list",78,0.045959486
5449,"list",78,0.309129648
5451,"composite",55.9,0.003745625
5451,"composite",55.9,0.765324872
5451,"composite",55.9,0.011335551
5451,"composite",55.9,0.709472069
5453,"avlja",51.8,0.003741588
5453,"avlja",51.8,23.621115866
5453,"avlja",51.8,0.038550152
5453,"avlja",51.8,2.095117859
5454,"bst",88,0.007077763
5454,"bst",88,0.388984841
5454,"bst",88,0.00837464
5454,"bst",88,0.366808803
5455,"list",78.9,0.002187603
5455,"list",78.9,2.402658295
5455,"list",78.9,0.044565655
5455,"list",78.9,0.29828779
5457,"avlja",52.4,0.00374808
5457,"avlja",52.4,23.548709439
5457,"avlja",52.4,0.038640587
5457,"avlja",52.4,2.100309227
5458,"composite",56.5,0.003761815
5458,"composite",56.5,0.810682958
5458,"composite",56.5,0.012748133
5458,"composite",56.5,0.738024237
5460,"bst",88.5,0.006348434
5460,"bst",88.5,0.38091247
5460,"bst",88.5,0.008207714
5460,"bst",88.5,0.355313065
5461,"list",79.8,0.002205088
5461,"list",79.8,3.755851941
5461,"list",79.8,0.034398075
5461,"list",79.8,0.223094649
5462,"composite",57.1,0.004246646
5462,"composite",57.1,0.801410038
5462,"composite",57.1,0.012999791
5462,"composite",57.1,0.759738795
5465,"avlja",52.9,0.003725667
5465,"avlja",52.9,24.522993452
5465,"avlja",52.9,0.042048123
5465,"avlja",52.9,1.913042807
5466,"bst",88.9,0.006368183
5466,"bst",88.9,0.445784423
5466,"bst",88.9,0.006810085
5466,"bst",88.9,0.288380085
5467,"list",80.7,0.002175631
5467,"list",80.7,3.800361572
5467,"list",80.7,0.034428329
5467,"list",80.7,0.227479127
5468,"composite",57.8,0.003823336
5468,"composite",57.8,0.939146516
5468,"composite",57.8,0.013413789
5468,"composite",57.8,0.838385664
5470,"avlja",53.4,0.004294201
5470,"avlja",53.4,27.985543064
5470,"avlja",53.4,0.040817682
5470,"avlja",53.4,2.108610294
5472,"bst",89.4,0.006387412
5472,"bst",89.4,0.471936024
5472,"bst",89.4,0.007106131
5472,"bst",89.4,0.295250123
5473,"list",81.7,0.002462314
5473,"list",81.7,3.84846158
5473,"list",81.7,0.036534748
5473,"list",81.7,0.224992225
5475,"composite",58.4,0.003830548
5475,"composite",58.4,0.937505644
5475,"composite",58.4,0.013187928
5475,"composite",58.4,0.83617854
5477,"avlja",53.9,0.003797274
5477,"avlja",53.9,28.436124199
5477,"avlja",53.9,0.041012803
5477,"avlja",53.9,2.285974874
5478,"list",82.6,0.002151271
5478,"list",82.6,3.786775568
5478,"list",82.6,0.034117273
5478,"list",82.6,0.223414199
5479,"bst",89.9,0.007129629
5479,"bst",89.9,0.468819746
5479,"bst",89.9,0.007565302
5479,"bst",89.9,0.295113392
5480,"composite",59,0.003792388
5480,"composite",59,0.937566007
5480,"composite",59,0.012471735
5480,"composite",59,0.836437521
5482,"avlja",54.5,0.003781651
5482,"avlja",54.5,26.754169202
5482,"avlja",54.5,0.040706537
5482,"avlja",54.5,2.282932229
5483,"list",83.5,0.002152645
5483,"list",83.5,3.773968409
5483,"list",83.5,0.03479422
5483,"list",83.5,0.22072899
5485,"bst",90.3,0.006341356
5485,"bst",90.3,0.424458394
5485,"bst",90.3,0.006653652
5485,"bst",90.3,0.285490676
5486,"composite",59.6,0.003792643
5486,"composite",59.6,0.963050537
5486,"composite",59.6,0.016273482
5486,"composite",59.6,0.847163548
