"id","VCs","conj_type","path_id","level_id","example","% Specified"
"3ae25f2e7ec132e673aeef8468869224646e9c",304,"eliminated",0,77,"bst",50.3267973856209
"3ae25f2e7ec132e673aeef84e8869224646e9c",310,"eliminated",0,78,"bst",50.9803921568627
"3ae25f2e7ec932e673aeef84e8869224646e9c",310,"eliminated",0,79,"bst",51.6339869281046
"3ae25f2e7ecb32e673aeef84e8869224646e9c",312,"eliminated",0,80,"bst",52.2875816993464
"3ee25f2e7ecb32e673aeef84e8869224646e9c",314,"eliminated",0,81,"bst",52.9411764705882
"3ee25f2e7ecb32e673aeef84e88692246c6e9c",321,"eliminated",0,82,"bst",53.5947712418301
"3ee2df2e7ecb32e673aeef84e88692246c6e9c",321,"eliminated",0,83,"bst",54.2483660130719
"13ee2df2e7ecb32e673aeef84e88692246c6e9c",322,"eliminated",0,84,"bst",54.9019607843137
"13ee2df2e7ecb32e673beef84e88692246c6e9c",326,"eliminated",0,85,"bst",55.5555555555556
"13ee2df2e7ecb32e6f3beef84e88692246c6e9c",326,"eliminated",0,86,"bst",56.2091503267974
"13ee2df2e7ecb32e6f3beef85e88692246c6e9c",328,"eliminated",0,87,"bst",56.8627450980392
"13ee6df2e7ecb32e6f3beef85e88692246c6e9c",329,"eliminated",0,88,"bst",57.516339869281
"13ee6df2e7ecb32e6f3beef85e88692246c6f9c",345,"eliminated",0,89,"bst",58.1699346405229
"13ee6df2e7ecb32eef3beef85e88692246c6f9c",346,"eliminated",0,90,"bst",58.8235294117647
"13ee6df3e7ecb32eef3beef85e88692246c6f9c",348,"eliminated",0,91,"bst",59.4771241830065
"13ee6df3e7ecb32eff3beef85e88692246c6f9c",355,"eliminated",0,92,"bst",60.1307189542484
"13ee6df3e7ecb32eff3beef85e8869a246c6f9c",363,"eliminated",0,93,"bst",60.7843137254902
"13ee6df3e7ecb32eff3beef85e8a69a246c6f9c",368,"eliminated",0,94,"bst",61.437908496732
"13ee6df3e7ecb72eff3beef85e8a69a246c6f9c",368,"eliminated",0,95,"bst",62.0915032679739
"13ee6df3e7ecf72eff3beef85e8a69a246c6f9c",369,"eliminated",0,96,"bst",62.7450980392157
"13ee6df3e7ecf76eff3beef85e8a69a246c6f9c",367,"eliminated",0,97,"bst",63.3986928104575
"13ee6df3e7ecf76eff3beef8de8a69a246c6f9c",373,"eliminated",0,98,"bst",64.0522875816993
"13ef6df3e7ecf76eff3beef8de8a69a246c6f9c",373,"eliminated",0,99,"bst",64.7058823529412
"13ef6df3e7ecf76eff3bfef8de8a69a246c6f9c",377,"eliminated",0,100,"bst",65.359477124183
"13ef6df3e7ecf76eff3bfef8de8a69a246c6fbc",380,"eliminated",0,101,"bst",66.0130718954248
