permutation_id,measurement_id,program_id,program_name,level_id,iter,mean,spec_type,expr_type
5181,728517,6,bst,146,1,6705432.0,pre,bool
5181,728518,6,bst,146,1,2.77593726E8,pre,bool
5184,721053,4,avlja,55,1,3338375.0,pred,pred
5184,721054,4,avlja,55,1,3.096904017E9,pred,pred
5184,721055,4,avlja,55,1,1.6759899E7,pred,pred
5184,721056,4,avlja,55,1,7.60913191E8,pred,pred
5185,696935,5,list,41,1,1836696.0,post,pred
5185,696936,5,list,41,1,9.64632391E8,post,pred
5185,696937,5,list,41,1,3.0263095E7,post,pred
5185,696938,5,list,41,1,2.45442223E8,post,pred
5186,694140,6,bst,147,1,7726318.0,pre,rem_imp
5186,694141,6,bst,147,1,3.22549786E8,pre,rem_imp
5186,694142,6,bst,147,1,8567039.0,pre,rem_imp
5186,694143,6,bst,147,1,2.82401113E8,pre,rem_imp
5189,759260,4,avlja,56,1,3323439.0,post,acc
5189,759261,4,avlja,56,1,3.074867268E9,post,acc
5189,759262,4,avlja,56,1,1.643804E7,post,acc
5189,759263,4,avlja,56,1,7.61013977E8,post,acc
5190,786276,2,composite,47,1,3393555.0,pred,acc
