"stress","iter","median","mean","stdev","min","max","only_framing","unverified","dynamic"
504,3,0.00535591,5508141,719287,4877155,6291359,NA,0.0135734206232508,NA
512,3,0.004908385,5097909,410217,4816720,5568622,NA,0.0135734207009731,NA
2,3,0.002032166,3231355,2138148,1961956,5699944,NA,NA,-0.114992275114255
4,3,0.005315571,6266794,1692895,5263462,8221350,NA,NA,-0.114989936624141
6,3,0.005512048,4907580,1079342,3661448,5549246,NA,NA,-0.114988246363047
8,3,0.010377782,10449501,3667850,6818037,14152686,NA,NA,-0.114987248222143
10,3,0.010261511,10873349,1098309,10217226,12141310,NA,NA,-0.114986864786054
12,3,0.01262094,12934547,914212,12218411,13964290,NA,NA,-0.114987034820962
14,3,0.018024629,17893850,310480,17539374,18117547,NA,NA,-0.114987714808473
16,3,0.018844312,19010308,467181,18648793,19537820,NA,NA,-0.114988873508429
18,3,0.025326103,25400375,308120,25136179,25738843,NA,NA,-0.114990487902854
20,3,0.050543659,50507562,464727,50025839,50953189,NA,NA,-0.11499254057807
22,3,0.033030471,32969720,184384,32762626,33116064,NA,NA,-0.114995018044374
24,3,0.044388044,44540113,1171984,43451586,45780710,NA,NA,-0.114997909634108
26,3,0.056027279,56069259,242900,55850085,56330414,NA,NA,-0.115001206759394
28,3,0.117018395,116736710,1046017,115578694,117613042,NA,NA,-0.115004902398777
30,3,0.103426766,104121941,1339749,103272668,105666390,NA,NA,-0.115008990733439
32,3,0.128568143,129454586,2290267,127740034,132055582,NA,NA,-0.115013466883672
34,3,0.136721806,136958676,1011080,136087059,138067163,NA,NA,-0.115018326714197
36,3,0.195289319,195301974,845317,194463056,196153549,NA,NA,-0.115023566687771
38,3,0.231459135,231803368,1287047,230723440,233227531,NA,NA,-0.115029183753372
40,3,0.217904584,220347546,4334493,217785936,225352119,NA,NA,-0.115035175259547
42,3,0.330372935,329488569,2248994,326931819,331160955,NA,NA,-0.115041538886409
44,3,0.306447136,306881514,878829,306304457,307892951,NA,NA,-0.11504827259164
46,3,0.465061061,464320235,1653651,462425701,465473943,NA,NA,-0.115055374567159
48,3,0.29003271,290227798,1537817,288796834,291853850,NA,NA,-0.115062843203998
50,3,0.501877131,501414647,1994905,499229121,503137690,NA,NA,-0.115070677063601
52,3,0.437213081,436063425,1999823,433754235,437222960,NA,NA,-0.115078874854155
54,3,0.648917621,649387225,6852466,642781640,656462415,NA,NA,-0.115087435410939
56,3,0.65062586,650947395,1964544,649163453,653052873,NA,NA,-0.115096357679888
58,3,0.65575528,652312383,9409893,641665918,659515953,NA,NA,-0.115105640703757
60,3,0.904472904,902840936,9496069,892634646,911415258,NA,NA,-0.115115283610404
62,3,1.037185196,1036940533,10395750,1026424611,1047211792,NA,NA,-0.115125285602816
64,3,1.049777642,1049724132,13804407,1035893048,1063501708,NA,NA,-0.115135645950563
66,3,1.044670524,1047505687,13028404,1036128321,1061718218,NA,NA,-0.115146363982451
68,3,1.256515692,1269506175,24987170,1253690114,1298312719,NA,NA,-0.115157439080175
70,3,1.584761809,1587269607,14143344,1574547906,1602499106,NA,NA,-0.115168870672799
72,3,1.228753186,1232558458,14382468,1220461261,1248460928,NA,NA,-0.115180658231955
74,3,1.620889118,1633865044,25677893,1617264629,1663441386,NA,NA,-0.115192801267637
76,3,2.006253439,2003270183,8914203,1993246957,2010310153,NA,NA,-0.11520529932451
78,3,1.75741669,1756423229,5671231,1750320909,1761532090,NA,NA,-0.115218151978654
80,3,2.12376083,2114872585,16045053,2096350357,2124506568,NA,NA,-0.115231358834689
82,3,2.206678942,2183007679,66976119,2107410350,2234933746,NA,NA,-0.115244919523223
84,3,2.316130607,2316589321,7049573,2309780307,2323857049,NA,NA,-0.115258833698583
86,3,2.386748315,2384207054,25556421,2357474940,2408397909,NA,NA,-0.11527310103679
88,3,2.226683736,2225158081,5503645,2219052558,2229737949,NA,NA,-0.115287721233749
90,3,2.545920722,2549767421,40906568,2510920077,2592461465,NA,NA,-0.115302694003627
92,3,3.189254273,3175918318,26157320,3145780794,3192719888,NA,NA,-0.115318019077391
94,3,2.80764826,2816226249,27188286,2794361535,2846668953,NA,NA,-0.115333696201493
96,3,3.530233041,3512847216,42119283,3464818140,3543490469,NA,NA,-0.115349725136686
98,3,3.222384516,3227428565,32969825,3197271428,3262629751,NA,NA,-0.115366105656949
100,3,4.100392369,4120989078,43761966,4091325683,4171249182,NA,NA,-0.115382837548508
102,3,4.660305304,4664348484,10984630,4655958465,4676781685,NA,NA,-0.115399920608957
104,3,4.186978671,4183314763,41513463,4140090788,4222874832,NA,NA,-0.115417354646448
106,3,4.183676177,4175321443,27605256,4144503900,4197784254,NA,NA,-0.115435139478959
