"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
70,3,28499942166,28.464856291,117418161,28333894834,28560731875,"Enabled","Composite"
72,3,31201663458,31.1010325,178720849,30894684333,31206749709,"Enabled","Composite"
74,3,34560825583,34.533780111,75751334,34448218000,34592296750,"Enabled","Composite"
76,3,37366783500,37.402223625,177782823,37244830209,37595057167,"Enabled","Composite"
78,3,40442082917,40.417084055,87282294,40320029958,40489139292,"Enabled","Composite"
80,3,43309568250,43.271749347,154799582,43101544791,43404135000,"Enabled","Composite"
82,3,46619413917,46.643413805,152429847,46504407583,46806419917,"Enabled","Composite"
84,3,50878603833,50.828657291,141042658,50669437833,50937930208,"Enabled","Composite"
86,3,54875632542,54.888461083,291344090,54603743167,55186007541,"Enabled","Composite"
88,3,59299497417,59.303571902,28736485,59277090125,59334128166,"Enabled","Composite"
90,3,63540079458,63.543295805,25078894,63519980250,63569827708,"Enabled","Composite"
92,3,68280497125,68.266870958,167569777,68092904125,68427211625,"Enabled","Composite"
94,3,72372518084,72.425377445,160567541,72297903417,72605710834,"Enabled","Composite"
96,3,77722441125,77.770393139,171193871,77628288458,77960449834,"Enabled","Composite"
98,3,83443465125,83.345276555,232021228,83080304750,83512059792,"Enabled","Composite"
100,3,89255441167,89.181775056,330092680,88821072959,89468811042,"Enabled","Composite"
102,3,95791893750,95.652673111,247773164,95366603208,95799522375,"Enabled","Composite"
104,3,100674535000,100.645081791,122351816,100510691708,100750018667,"Enabled","Composite"
106,3,107113376041,107.0448725,222799725,106795864667,107225376792,"Enabled","Composite"
108,3,113551900084,113.258879569,597194986,112571771416,113652967208,"Enabled","Composite"
110,3,121169409458,121.187848194,147114809,121050821958,121343313167,"Enabled","Composite"
112,3,127171480500,127.250312778,154391518,127151252042,127428205792,"Enabled","Composite"
114,3,136107688167,136.178544666,354558307,135864765083,136563180750,"Enabled","Composite"
116,3,143643713292,143.926421222,503548917,143627753958,144507796417,"Enabled","Composite"
118,3,149740245750,149.545804014,581582716,148891912000,150005254292,"Enabled","Composite"
120,3,159520942333,159.465982833,193848290,159250588875,159626417292,"Enabled","Composite"
122,3,168038535583,167.894791708,531764688,167305931417,168339908125,"Enabled","Composite"
124,3,177039400000,177.094983236,407599154,176718028083,177527521625,"Enabled","Composite"
126,3,186474076833,186.512573791,178549377,186356413125,186707231417,"Enabled","Composite"
128,3,195694548625,195.7802125,368538122,195462050500,196184038375,"Enabled","Composite"
