"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",1913,66,34,"Eliminated",259,15.7
"bst",1919,66,35,"Eliminated",265,16.1
"bst",1924,66,36,"Eliminated",265,16.6
"bst",1930,66,37,"Eliminated",266,17.1
"bst",1936,66,38,"Eliminated",282,17.5
"bst",1942,66,39,"Eliminated",285,18
"bst",1948,66,40,"Eliminated",295,18.4
"bst",1954,66,41,"Eliminated",295,18.9
"bst",1960,66,42,"Eliminated",295,19.4
"bst",1966,66,43,"Eliminated",297,19.8
"bst",1972,66,44,"Eliminated",297,20.3
"bst",1978,66,45,"Eliminated",299,20.7
"bst",1984,66,46,"Eliminated",304,21.2
"bst",1990,66,47,"Eliminated",306,21.7
"bst",1996,66,48,"Eliminated",308,22.1
"bst",2002,66,49,"Eliminated",312,22.6
"bst",2008,66,50,"Eliminated",314,23
"bst",2011,66,51,"Eliminated",321,23.5
"bst",2017,66,52,"Eliminated",321,24
"bst",2023,66,53,"Eliminated",326,24.4
"bst",2029,66,54,"Eliminated",346,24.9
"bst",2035,66,55,"Eliminated",376,25.3
"bst",2041,66,56,"Eliminated",376,25.8
"bst",2047,66,57,"Eliminated",381,26.3
"bst",2053,66,58,"Eliminated",385,26.7
"bst",2059,66,59,"Eliminated",387,27.2
"bst",2065,66,60,"Eliminated",392,27.6
"bst",2071,66,61,"Eliminated",393,28.1
"bst",2077,66,62,"Eliminated",401,28.6
"bst",2083,66,63,"Eliminated",405,29
"bst",2089,66,64,"Eliminated",411,29.5
"bst",2095,66,65,"Eliminated",416,30
"bst",2101,66,66,"Eliminated",422,30.4
"bst",2107,66,67,"Eliminated",427,30.9
"bst",2112,66,68,"Eliminated",427,31.3
"bst",2117,66,69,"Eliminated",431,31.8
"bst",2123,66,70,"Eliminated",440,32.3
"bst",2128,66,71,"Eliminated",440,32.7
"bst",2135,66,72,"Eliminated",443,33.2
"bst",2139,66,73,"Eliminated",446,33.6
"bst",2145,66,74,"Eliminated",451,34.1
"bst",2151,66,75,"Eliminated",458,34.6
"bst",2157,66,76,"Eliminated",464,35
"bst",2163,66,77,"Eliminated",468,35.5
"bst",2169,66,78,"Eliminated",472,35.9
"bst",2175,66,79,"Eliminated",474,36.4
"bst",2181,66,80,"Eliminated",474,36.9
"bst",2187,66,81,"Eliminated",476,37.3
"bst",2193,66,82,"Eliminated",487,37.8
"bst",2199,66,83,"Eliminated",489,38.2
"bst",2205,66,84,"Eliminated",489,38.7
"bst",2211,66,85,"Eliminated",491,39.2
"bst",2216,66,86,"Eliminated",492,39.6
"bst",2221,66,87,"Eliminated",494,40.1
"bst",2227,66,88,"Eliminated",494,40.6
"bst",2233,66,89,"Eliminated",499,41
"bst",2240,66,90,"Eliminated",499,41.5
"bst",2245,66,91,"Eliminated",521,41.9
"bst",2253,66,92,"Eliminated",523,42.4
"bst",2260,66,93,"Eliminated",529,42.9
"bst",2268,66,94,"Eliminated",531,43.3
"bst",2270,66,95,"Eliminated",562,43.8
"bst",2276,66,96,"Eliminated",564,44.2
"bst",2282,66,97,"Eliminated",572,44.7
"bst",2288,66,98,"Eliminated",580,45.2
"bst",2293,66,99,"Eliminated",580,45.6
"bst",2299,66,100,"Eliminated",584,46.1
"bst",2305,66,101,"Eliminated",589,46.5
"bst",2310,66,102,"Eliminated",590,47
"bst",2316,66,103,"Eliminated",595,47.5
"bst",2322,66,104,"Eliminated",595,47.9
"bst",2328,66,105,"Eliminated",614,48.4
"bst",2333,66,106,"Eliminated",615,48.8
"bst",2339,66,107,"Eliminated",625,49.3
"bst",2344,66,108,"Eliminated",625,49.8
"bst",2352,66,109,"Eliminated",625,50.2
"bst",2356,66,110,"Eliminated",627,50.7
"bst",2363,66,111,"Eliminated",628,51.2
"bst",2370,66,112,"Eliminated",639,51.6
"bst",2374,66,113,"Eliminated",642,52.1
"bst",2380,66,114,"Eliminated",681,52.5
"bst",2389,66,115,"Eliminated",724,53
"bst",2395,66,116,"Eliminated",746,53.5
"bst",2401,66,117,"Eliminated",750,53.9
"bst",2405,66,118,"Eliminated",752,54.4
"bst",2410,66,119,"Eliminated",758,54.8
"bst",2417,66,120,"Eliminated",758,55.3
"bst",2424,66,121,"Eliminated",760,55.8
"bst",2433,66,122,"Eliminated",780,56.2
"bst",2437,66,123,"Eliminated",792,56.7
"bst",2445,66,124,"Eliminated",801,57.1
"bst",2453,66,125,"Eliminated",801,57.6
"bst",2460,66,126,"Eliminated",802,58.1
"bst",2466,66,127,"Eliminated",802,58.5
"bst",2468,66,128,"Eliminated",823,59
"bst",2478,66,129,"Eliminated",826,59.4
"bst",2482,66,130,"Eliminated",828,59.9
"bst",2487,66,131,"Eliminated",828,60.4
"bst",2493,66,132,"Eliminated",828,60.8
"bst",2499,66,133,"Eliminated",828,61.3
"bst",2505,66,134,"Eliminated",828,61.8
"bst",2511,66,135,"Eliminated",828,62.2
"bst",2517,66,136,"Eliminated",906,62.7
"bst",2523,66,137,"Eliminated",918,63.1
"bst",2529,66,138,"Eliminated",918,63.6
"bst",2535,66,139,"Eliminated",921,64.1
"bst",2540,66,140,"Eliminated",921,64.5
"bst",2546,66,141,"Eliminated",922,65
"bst",2552,66,142,"Eliminated",922,65.4
"bst",2558,66,143,"Eliminated",923,65.9
"bst",2564,66,144,"Eliminated",924,66.4
"bst",2570,66,145,"Eliminated",942,66.8
"bst",2577,66,146,"Eliminated",945,67.3
"bst",2580,66,147,"Eliminated",945,67.7
"bst",2586,66,148,"Eliminated",957,68.2
"bst",2592,66,149,"Eliminated",957,68.7
"bst",2598,66,150,"Eliminated",968,69.1
"bst",2602,66,151,"Eliminated",978,69.6
"bst",2608,66,152,"Eliminated",968,70
