id,path_id,level_id,component_added
1dfffffff7ffeffdffbffbffffff7ffffffffef,4,145,m.tree_main_lemma.1.pre.36
1dffffffffffeffdffbffbffffff7ffffffffef,4,146,m.tree_contains_helper.3.fold.33
1dffffffffffefffffbffbffffff7ffffffffef,4,147,m.tree_max_helper.3.fold.59
1dffffffffffefffffbffbfffffffffffffffef,4,148,m.tree_remove_lemma_left.3.fold.109
1dffffffffffeffffffffbfffffffffffffffef,4,149,m.tree_min_helper.1.pre.70
1fffffffffffeffffffffbfffffffffffffffef,4,150,m.create_tree.3.fold.3
1ffffffffffffffffffffbfffffffffffffffef,4,151,m.tree_max.3.fold.48
1ffffffffffffffffffffffffffffffffffffef,4,152,m.tree_min_lemma.1.pre.82
1ffffffffffffffffffffffffffffffffffffff,4,153,p.bstRemove.6.pred.148
0,5,0,NA
400000000000000000000000000,5,1,m.tree_max.2.post.46
400000000000000200000000000,5,2,m.tree_remove_lemma_left.2.post.107
400000200000000200000000000,5,3,m.tree_min_helper.1.pre.71
400000210000000200000000000,5,4,m.tree_min_helper.3.fold.76
401000210000000200000000000,5,5,m.tree_max_helper.4.unfold.56
403000210000000200000000000,5,6,m.tree_max_helper.3.fold.55
403000210000000200000000400,5,7,p.bst.6.pred.142
403000210000000200000000410,5,8,p.bstRemove.6.pred.148
403000210000001200000000410,5,9,m.tree_remove_lemma.3.fold.104
403000210000001200000001410,5,10,p.bst.6.pred.140
800000000403000210000001200000001410,5,11,m.create_tree_helper.3.fold.9
80000000040b000210000001200000001410,5,12,m.tree_max_helper.4.unfold.53
80000000040b000210000001200010001410,5,13,m.tree_remove_lemma_min.1.pre.124
80000000040b000210000001600010001410,5,14,m.tree_remove_lemma_left.1.pre.106
81000000040b000210000001600010001410,5,15,m.tree_add.1.pre.16
81004000040b000210000001600010001410,5,16,m.tree_contains.1.pre.26
81004000040b000210000011600010001410,5,17,m.tree_remove_helper.3.fold.100
81004000040b000210000011600410001410,5,18,m.tree_remove_lemma_left2.3.fold.118
81004008040b000210000011600410001410,5,19,m.tree_main_lemma.2.post.37
81014008040b000210000011600410001410,5,20,m.tree_add_helper.4.unfold.24
81014008040b000210008011600410001410,5,21,m.tree_remove.3.fold.89
1081014008040b000210008011600410001410,5,22,m.create_tree_helper.1.pre.4
1081014008040b000210008011600410001418,5,23,p.bstRemove.6.pred.149
1081014008040b008210008011600410001418,5,24,m.tree_min.1.pre.65
1081014008060b008210008011600410001418,5,25,m.tree_max.4.unfold.47
1081014008060b008210008011600410001c18,5,26,p.bst.6.pred.141
1081014008060b008210008111600410001c18,5,27,m.tree_remove_helper.3.fold.96
1081014008060b008210008311600410001c18,5,28,m.tree_remove_helper.3.fold.95
1081014008060b008218008311600410001c18,5,29,m.tree_min_helper.4.unfold.77
1081014008060b108218008311600410001c18,5,30,m.tree_max_lemma.1.pre.60
1481014008060b108218008311600410001c18,5,31,m.create_tree_helper.2.post.6
1681014008060b108218008311600410001c18,5,32,m.create_tree_helper.3.fold.7
1681014008060b108218108311600410001c18,5,33,m.tree_min_lemma.4.unfold.84
1681014018060b108218108311600410001c18,5,34,m.tree_main_lemma.1.pre.36
1681014018060b108218108331600410001c18,5,35,m.tree_remove_helper.3.fold.99
1681014018060f108218108331600410001c18,5,36,m.tree_max_helper.3.fold.54
1681014018060f10a218108331600410001c18,5,37,m.tree_min.2.post.67
1681114018060f10a218108331600410001c18,5,38,m.tree_add_helper.1.pre.20
1681114018060f10a218108331620410001c18,5,39,m.tree_remove_lemma_left.3.fold.111
1681114018060f10a218108331620c10001c18,5,40,m.tree_remove_lemma_left2.3.fold.117
1681114018860f10a218108331620c10001c18,5,41,m.tree_main_lemma_bst.2.post.41
1681114018860f10a218108333620c10001c18,5,42,m.tree_remove_lemma.4.unfold.103
1681114018860f10a218108333620c10001c19,5,43,p.treeRemove.6.pred.152
1681114018860f10a218108333620c10001c59,5,44,p.bstRemove.6.pred.146
1681114018860f10a219108333620c10001c59,5,45,m.tree_min_helper.3.fold.80
1681114018860f10a219108333620e10001c59,5,46,m.tree_remove_lemma_max.1.pre.119
1681134018860f10a219108333620e10001c59,5,47,m.tree_add_helper.2.post.23
1681134018860f90a219108333620e10001c59,5,48,m.tree_max_helper.0.assert.57
1681134018860f90a21b108333620e10001c59,5,49,m.tree_min_helper.3.fold.79
1681134018860f90a21b108333620e10001c5b,5,50,p.tree.6.pred.151
1681134018860f90a21b108733620e10001c5b,5,51,m.tree_remove_helper.3.fold.94
1681134018860f90a21b108733620e10001c7b,5,52,p.bstRemove.6.pred.147
1681134018860f90a21b108733e20e10001c7b,5,53,m.tree_remove_lemma_left.1.pre.105
1681134018860f90a21b10c733e20e10001c7b,5,54,m.tree_remove_helper.1.pre.90
1681134018862f90a21b10c733e20e10001c7b,5,55,m.tree_max_helper.2.post.51
1691134018862f90a21b10c733e20e10001c7b,5,56,m.main.5.inv.12
1691134098862f90a21b10c733e20e10001c7b,5,57,m.tree_contains_helper.3.fold.33
1691134098862f90a21b11c733e20e10001c7b,5,58,m.tree_remove.4.unfold.88
16911340b8862f90a21b11c733e20e10001c7b,5,59,m.tree_contains_helper.3.fold.35
16911340b88e2f90a21b11c733e20e10001c7b,5,60,m.tree_max.1.pre.45
