"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","bst_component_type","example","classification","list_component_type","composite_component_type"
"1ff7dfff7fffffffffffffbffffffbffff7ffff",6,96.1,"m.tree_contains_helper.1.pre.pred_inst.30",56,80710068,"gradual",-62616810,-43.7,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
"1ff7dfff7fffffffffffffbffffffbffff7ffff",6,96.1,"m.tree_contains_helper.1.pre.pred_inst.30",60,113578567,"gradual",-83242625,-42.3,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
"1ff7dfff7fffffffffffffbffffffbffff7ffff",6,96.1,"m.tree_contains_helper.1.pre.pred_inst.30",64,126161461,"gradual",-98445911,-43.8,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
"1ffffdfffffffffffffffffdffffffeff7ffffe",0,96.7,"p.tree.6.pred.pred_inst.151",52,55453285,"gradual",-47700800,-46.2,"tree","pred","pred_inst","bst","min",NA,NA
"1ffffdfffffffffffffffffdffffffeff7ffffe",0,96.7,"p.tree.6.pred.pred_inst.151",56,80088886,"gradual",-70195146,-46.7,"tree","pred","pred_inst","bst","min",NA,NA
"1ffffdfffffffffffffffffdffffffeff7ffffe",0,96.7,"p.tree.6.pred.pred_inst.151",60,112587429,"gradual",-95645722,-45.9,"tree","pred","pred_inst","bst","min",NA,NA
"1ffffdfffffffffffffffffdffffffeff7ffffe",0,96.7,"p.tree.6.pred.pred_inst.151",64,122624557,"gradual",-116171268,-48.6,"tree","pred","pred_inst","bst","min",NA,NA
"1fffffffdffffffffff7bffffbfffbfffffffff",5,96.7,"m.tree_remove_lemma_min.2.post.pred_inst.126",56,34572210,"gradual",-39080572,-53.1,"tree_remove_lemma_min","post","pred_inst","bst","min",NA,NA
"1fffffffdffffffffff7bffffbfffbfffffffff",5,96.7,"m.tree_remove_lemma_min.2.post.pred_inst.126",60,53813957,"gradual",-53123465,-49.7,"tree_remove_lemma_min","post","pred_inst","bst","min",NA,NA
"1fffffffdffffffffff7bffffbfffbfffffffff",5,96.7,"m.tree_remove_lemma_min.2.post.pred_inst.126",64,56433881,"gradual",-64294129,-53.3,"tree_remove_lemma_min","post","pred_inst","bst","min",NA,NA
"1fffdffffffefffefffffffe7ffffffffffffff",7,96.7,"p.tree.6.pred.pred_inst.151",44,47488967,"gradual",-38701234,-44.9,"tree","pred","pred_inst","bst","min",NA,NA
"1fffdffffffefffefffffffe7ffffffffffffff",7,96.7,"p.tree.6.pred.pred_inst.151",48,40195269,"gradual",-36145336,-47.3,"tree","pred","pred_inst","bst","min",NA,NA
"1fffdffffffefffefffffffe7ffffffffffffff",7,96.7,"p.tree.6.pred.pred_inst.151",52,60514033,"gradual",-57124612,-48.6,"tree","pred","pred_inst","bst","min",NA,NA
"1fffdffffffefffefffffffe7ffffffffffffff",7,96.7,"p.tree.6.pred.pred_inst.151",56,85329108,"gradual",-90097480,-51.4,"tree","pred","pred_inst","bst","min",NA,NA
"1fffdffffffefffefffffffe7ffffffffffffff",7,96.7,"p.tree.6.pred.pred_inst.151",60,125954193,"gradual",-117017289,-48.2,"tree","pred","pred_inst","bst","min",NA,NA
"1fffdffffffefffefffffffe7ffffffffffffff",7,96.7,"p.tree.6.pred.pred_inst.151",64,136892133,"gradual",-139868056,-50.5,"tree","pred","pred_inst","bst","min",NA,NA
"1ffffdfffffffffffffffffffffffffffffffff",0,99.3,"p.treeRemove.6.pred.pred_inst.152",60,76481075,"gradual",-36099938,-32.1,"treeRemove","pred","pred_inst","bst","min",NA,NA
"1ffffdfffffffffffffffffffffffffffffffff",0,99.3,"p.treeRemove.6.pred.pred_inst.152",64,80066319,"gradual",-42778607,-34.8,"treeRemove","pred","pred_inst","bst","min",NA,NA
"1fffffffffffffffffffffbffffffffffffffff",6,99.3,"m.tree_contains.3.fold.pred_inst.29",56,34079879,"gradual",-46634405,-57.8,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1fffffffffffffffffffffbffffffffffffffff",6,99.3,"m.tree_contains.3.fold.pred_inst.29",60,53491729,"gradual",-60045224,-52.9,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1fffffffffffffffffffffbffffffffffffffff",6,99.3,"m.tree_contains.3.fold.pred_inst.29",64,55686457,"gradual",-66533116,-54.4,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1ffffffffffffffffffffffffffffffffffffff",4,100,"p.bstRemove.6.pred.acc.148",64,55682476,"gradual",-34457309,-38.2,"bstRemove","pred","acc","bst","min",NA,NA
"1ffffffffffffffffffffffffffffffffffffff",7,100,"m.tree_remove_helper.3.fold.pred_inst.92",56,34402668,"gradual",-37873617,-52.4,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"1ffffffffffffffffffffffffffffffffffffff",7,100,"m.tree_remove_helper.3.fold.pred_inst.92",60,53770548,"gradual",-51085843,-48.7,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"1ffffffffffffffffffffffffffffffffffffff",7,100,"m.tree_remove_helper.3.fold.pred_inst.92",64,55682476,"gradual",-64836058,-53.8,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",28,51152692,"gradual",45420301,792.3,"bst","pred","acc","bst","max",NA,NA
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",32,59029293,"gradual",52713297,834.6,"bst","pred","acc","bst","max",NA,NA
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",36,91119795,"gradual",83299591,1065.2,"bst","pred","acc","bst","max",NA,NA
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",40,101723108,"gradual",93381736,1119.5,"bst","pred","acc","bst","max",NA,NA
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",44,140508766,"gradual",130334253,1281,"bst","pred","acc","bst","max",NA,NA
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",48,134341327,"gradual",124482748,1262.7,"bst","pred","acc","bst","max",NA,NA
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",52,203257245,"gradual",190331639,1472.5,"bst","pred","acc","bst","max",NA,NA
