permutation_id,conj_elim,conj_total
10485,1270,1884
10489,1273,1886
10493,1260,1405
10497,1260,1405
10501,1260,1405
10505,1281,1699
10509,1281,1699
10513,1273,1430
10517,1273,1430
10521,1273,1430
10525,1273,1430
10529,1275,1431
10533,1296,1725
10537,1296,1725
10541,1283,1424
10545,1297,1412
10549,1321,1321
10553,1321,1321
10560,200,272
10563,200,272
10567,200,274
10571,200,275
10575,202,277
10579,202,279
10583,204,281
10587,210,285
10591,214,290
10595,218,294
10599,218,294
10603,218,294
10607,218,295
10611,220,297
10615,220,298
10619,221,301
10623,223,303
10627,225,306
10631,227,308
10635,227,308
10639,237,324
10643,234,324
10647,234,325
10651,241,336
10655,240,336
10659,240,337
10663,240,343
10667,240,347
10671,242,349
10675,244,351
10679,244,353
10683,248,355
10687,257,370
10691,259,372
10695,259,372
10699,259,372
10703,261,374
10707,261,376
10711,261,377
10715,263,379
10719,280,408
10723,282,410
10727,284,409
10731,293,418
10735,293,423
10739,293,423
10743,291,423
10747,294,426
10751,294,426
10755,301,440
10759,306,445
10763,307,445
10767,307,445
10771,313,456
10775,319,460
10779,326,467
10783,333,474
10787,340,488
10791,341,489
10795,342,492
10799,342,498
10803,379,540
10807,414,582
10811,417,587
10815,431,609
10819,441,626
10823,441,626
10827,446,630
10831,448,639
10835,455,644
10839,456,646
10843,457,646
10847,457,647
10851,465,660
10855,481,688
10859,481,688
10863,481,691
10867,481,691
10871,482,692
