id,95th,5th,median,mean,stdev,min,max
81c4a1727592435da86b420046f8705350ab2d9cc57835fa8b280280000000041,481976661.80,480676750.0,480676750,480616516.6,1349370.23,478566844,482100628
64b75a77775d5d359bb7f5bb76dd974d7fa9a59bedcbb7dee7fac7060600108940,580029435.20,571209913.0,571209913,572858247.8,5675815.23,566346651,581159184
248b5a26651d7d70c285dcba563b251d35e907c3a999319fefda8600c000080003,578096567.00,576496012.0,576496012,576762237.6,991798.37,575933316,578381408
6d2d7b77671d7574db9775b372ffb75c57e333dbeddbb68fef7067c84600200900,611429685.00,609879239.0,609879239,609907048,1308979.63,608093472,611700007
3059444100150098a7c0a05241951409481258a598140880fa00000000000000,425650000.20,420960025.0,420960025,421535465.4,3129447.37,418490277,426479787
6dbf5b77775d7d75dbb7fdbb76ffb75d7febb7d3eddbb7dfeffaffffff9f7e77ff,342288499.20,339199647.0,339199647,339523790,2055461.31,337970210,343048594
480010000018104091338800100100003a20001004012280050000000000000000,308411919.20,306217998.0,306217998,306067912.4,1850799.55,304274819,308934473
6dbd5f77771d7d75dbb7fdbb76ffb75d7febb7dbe5dbb7df6dfaaffb6a357aecf3,767929006.60,760803209.0,760803209,762747417.4,4085078.09,758970320,768548662
20080200040000110200001000820c0001040080001000400000000000000000,286434614.00,285426194.0,285426194,285600280.8,655239.93,284990263,286553769
6dbd5a77775d7d7ddbb3fdbb76ffb75d7febb7dbeddbb7dfeffaff5fff3f7affdf,393835870.60,391872846.0,391872846,391500422,2151803.37,388557296,394131820
8912000200200000044000002021180008000000180001000080000000000000,286591595.20,282073421.0,282073421,281619133.8,4182002.11,277214726,287353268
6c3f4b22734d0974d2852c8a56eca6545c6aa1d9e888921defea84145000000003,654738418.20,648680321.0,648680321,650217996,3311542.16,647830808,655663807
a06010148404080c090140324002081004009082002208280000000000000,322084749.40,318958653.0,318958653,318903674.4,2487593.84,316517084,322768471
1b84902100838254884d9090471000c3061250024c931c1c88000000000000000,376683385.00,373886911.0,373886911,374362207.2,1868963.71,372311344,376989514
40294b10251875118b15a8a362300f445bc8939a8c80374e265200000000200000,567711436.80,556822530.0,556822530,559058353,6358470.76,554190905,570181506
1000000000000000000040000000028001000008000200000000000000000,262266829.00,260168734.0,260168734,259900116.4,1979241.21,257920523,262657093
4d91497674085870878131115655b34925c024c8a550a4c18f4000000200000000,461324541.00,457549092.0,457549092,458908351.4,2021855.11,457384450,461471822
6dbddb77775d7d65dab7fdbb76ffb75d7febb7dbeddbb65feffad797993f7e53c3,523800535.20,521663120.0,521663120,521689263,1924985.52,518828812,524153068
6dbd7b77775d7d74dbb7fdbb76ffb75c77ebb3dbeddbb6dfef7ae7fb5799682bca,439089577.60,438327291.0,438327291,437804864,1298309.48,436378499,439200189
6dac5a77475d79749f95edb974bbb60d76eba5dbcd9bb3de8ffaa22a02140000a2,708349214.60,701751422.0,701751422,703217412,3901103.29,699981916,709179537
6dbf5b77775d7d75dbb7fdbb76ffb75d7febb7dbeddbb7dfeffaffffffbf3effff,222460313.60,217035033.0,217035033,218607911.4,2812582.92,216662212,223243119
1ad18204500045100b6cd3b56da86451be91681611b848d4c6800000000000000,490528062.40,488616082.0,488616082,488376916.4,2520005.46,484177139,490678999
4d914976760c5c7187b1311156f5b3497dc024c8a558a4cd8f4082002200000000,554064036.80,550615087.0,550615087,551116491.8,2411302.73,547974769,554621670
40294b10251875118b15a8a362332f4c5be8939a8c88375ee6d284000000200000,541493464.60,521240114.0,521240114,525927844.4,11495214.07,520037783,546456679
dac5a2277557d6ddb33f89a667fb7583f8ba5d3eddb371d63f0a318100020c301,614437621.60,613092872.0,613092872,613024044.4,1379254.12,610863982,614683409
40b9d311230420445085412802202158378a810028d90057a15082000000000000,370907785.60,368898205.0,368898205,368879962.6,2138062.22,365574313,371011189
2584430515542910103014b10644a1014a83020a00c92156810a00000000000000,406779766.60,404740670.0,404740670,404127860,2290200.91,401427153,407279023
88f593533546c6519a4d48a628b2055138333402099160b851a84000000000000,457721822.80,434584958.0,434584958,440146101.6,12858877.15,432898675,463022010
280000002100000000040000020200002000040040000000000000000000000000,272118315.80,269350123.0,269350123,269790106.6,1746832.99,268340244,272582137
2d8f5937775c7d75dba7f5ab76fbb5553febb7daadd9b75befdaa636640c008380,648786388.60,646287209.0,646287209,646712137.6,1570166.09,645057578,649264696
6dbddb77775d7d65dab7fdbb76ffb75d7febb7dbeddbb657effad691993f5e43c3,597280147.40,593889590.0,593889590,594365071,2229452.46,592030458,598069262
2c2f092262480974d0802c8056a026545c682111e880821d6eea84004000000003,493504967.80,492319183.0,492319183,492282406.2,1028978.86,491038220,493688876
11100401000001008b44182003204090440004000002010604200000000000000,297167067.60,295341141.0,295341141,295517012.8,1235123.83,294480437,297564968
6c09437772dc7070cb3171bb76df365c3d6235422dca1095496aa6040000000103,452439207.00,451395937.0,451395937,451085572.2,1254218.42,449616221,452589017
6dad4a7777457971d395f5b874eb373d7daa379bc8dba59fc37ac6002010080002,606309783.20,601911265.0,601911265,602025832.2,3587797.75,598198519,606849394
6599db75735c7875db357cab747da719656bb6dbcd5a14deeebac7043000000003,581038009.60,580609320.0,580609320,579321172.4,2378884.71,575477535,581069374
800421366193c2110200112142120552aa3131aa580b11d2d1800000000000000,437680309.00,431202471.0,431202471,433487658.6,3476771.85,430804231,437965353
6dbf5b37775d7c75d9b7fdbb56ff97457bebb7d9ed5bb4ddecf8f51929a02068c0,510653213.40,509412428.0,509412428,508919110.6,1768265.94,506763993,510740621
1b9496231083d354a85d91b54f5005d7ae3254ae4cb3fc1c98000000000000010,466911943.80,465342125.0,465342125,465164256,1817329.90,462236271,467139767
900410000000004c00010000000014002002108100000b800000000000000,295616500.80,295411655.0,295411655,294904056.2,866917.66,293894519,295631091
6c885a77475d71509785e538741b360d722ba558c49ab3ca0ea882220214000000,612636463.40,606433890.0,606433890,607460943.6,3855204.51,603820478,613947007
6da55a7737586d64caa27dbb347db71d77e9a7d3cdda875cce76e2081030001103,591190555.00,589004195.0,589004195,589322078.4,1429689.95,587974350,591527672
4db4c8664209787598a53c2952ac304471a0b7cb490004db6c3002000000003000,457624094.40,456380270.0,456380270,455931917.4,1769704.34,454067618,457659785
420c002080104000020810000100000020800001010800000000000000,273276194.40,270384431.0,270384431,271263985.8,1653415.57,269830852,273436977
6dbddb77771d7d75dbb7fdbb52ffb75c7bebb7dbeddbb7dbeffaf778f89178b6d3,628148070.00,624256304.0,624256304,624827789,2681717.30,621711564,628625143
459d5b37765c3d71dbb7ddbb50ff871d476b32d3eddbb6dfcfee86a468100801c3,713560559.00,709018329.0,709018329,709311534.2,3341980.05,705461449,714663882
6db54f3755547d50d03255b946efb5517feb229aa9dba5d78d2a20800020000000,523536860.20,518269910.0,518269910,519402333.2,3298616.05,515942251,524061762
6dbd5b77751d5d75dbb7fdbb72ffb74c7febb7dbedfbb7dfeffaafa27fbd727cce,463688995.80,462099015.0,462099015,461629121.6,1937630.89,459189295,463906502
40080a4444590150130101280413020d202aa408409812ca048800000000000000,399667562.20,397986952.0,397986952,397463802.2,2064307.30,394746234,399934724
2584430515542910103014b10644a1014a83020a00c82156810a00000000000000,406889810.20,405334270.0,405334270,404819236.8,2204326.56,402158679,406909259
48008000000002080000000002401000301008000400600008000000000000000,268881399.20,267416532.0,267416532,267583408.4,1192675.25,265917469,268994371
459d5b37765d7d71dbb7ddbb50ff871d4febb2d3eddbb6dfcffe86a46c112801c3,700539295.60,697461888.0,697461888,697704852.4,2459161.55,694417095,700894591
6dbd5b67255d6d35dba5bd33762bb6197fcb87d3e5d9b7caafbede800804005482,682642662.80,680211663.0,680211663,680165725.8,2339377.25,676742626,682904461
6db95b77775d7d75dfb7f9bb76ffb75d7febb7dbe559b7dfcff8a7e3fe365c2031,736376754.40,733156045.0,733156045,733181945.2,2742917.21,730158432,736730579
250441041544201010301491020421010883020a00082142800a00000000000000,342297209.00,337345054.0,337345054,338763173.2,3066783.41,335626475,342471149
6504487535580c2408027ca30428831c376885c1859a87440a46c2000000000003,431856659.40,430576328.0,430576328,430463600.6,1126342.60,429294800,432129792
24357b4765587d05d8a7f8ba76db97144bcab2daad9a364aeafa01808004000002,555981784.60,552512094.0,552512094,553275463.6,2027386.38,551304543,556517916
6db5da7766197d75daa77cbb52bfb7547ba8b7dbed1926dbeff202203000203002,633879978.20,632563711.0,632563711,632637097.6,1031207.55,631286672,634103797
