"program_name","level_id","stress","median","measurement_type"
"bst",33,16,3.2502625,"gradual"
"bst",33,32,6.840172,"gradual"
"bst",34,8,6.0269935,"dynamic"
"bst",34,16,14.806634,"dynamic"
"bst",34,32,93.3487785,"dynamic"
"bst",34,8,1.991718,"framing"
"bst",34,16,2.1298285,"framing"
"bst",34,32,3.0124895,"framing"
"bst",34,8,2.604776,"gradual"
"bst",34,16,3.560299,"gradual"
"bst",34,32,7.309661,"gradual"
"bst",35,8,5.628027,"dynamic"
"bst",35,16,14.5752925,"dynamic"
"bst",35,32,93.319096,"dynamic"
"bst",35,8,2.025151,"framing"
"bst",35,16,2.1416785,"framing"
"bst",35,32,3.010749,"framing"
"bst",35,8,2.6476995,"gradual"
"bst",35,16,3.52935,"gradual"
"bst",35,32,7.019415,"gradual"
"bst",36,8,6.06095,"dynamic"
"bst",36,16,14.261537,"dynamic"
"bst",36,32,93.995769,"dynamic"
"bst",36,8,2.0697165,"framing"
"bst",36,16,2.12664,"framing"
"bst",36,32,2.8898165,"framing"
"bst",36,8,2.670227,"gradual"
"bst",36,16,3.403652,"gradual"
"bst",36,32,7.303443,"gradual"
"bst",37,8,5.644787,"dynamic"
"bst",37,16,14.3174465,"dynamic"
"bst",37,32,93.3840355,"dynamic"
"bst",37,8,2.09603,"framing"
"bst",37,16,2.2087325,"framing"
"bst",37,32,3.0004545,"framing"
"bst",37,8,2.6253765,"gradual"
"bst",37,16,3.4585805,"gradual"
"bst",37,32,7.177915,"gradual"
"bst",38,8,6.0359125,"dynamic"
"bst",38,16,14.4115435,"dynamic"
"bst",38,32,94.2101145,"dynamic"
"bst",38,8,2.070666,"framing"
"bst",38,16,2.170678,"framing"
"bst",38,32,2.8967755,"framing"
"bst",38,8,2.602399,"gradual"
"bst",38,16,3.5171925,"gradual"
"bst",38,32,7.3036155,"gradual"
"bst",39,8,6.145779,"dynamic"
"bst",39,16,14.624023,"dynamic"
"bst",39,32,92.885544,"dynamic"
"bst",39,8,2.0590975,"framing"
"bst",39,16,2.1470425,"framing"
"bst",39,32,2.990282,"framing"
"bst",39,8,2.7426965,"gradual"
"bst",39,16,3.3962285,"gradual"
"bst",39,32,7.294403,"gradual"
"bst",40,8,6.042092,"dynamic"
"bst",40,16,14.6139435,"dynamic"
"bst",40,32,93.289141,"dynamic"
"bst",40,8,2.0787405,"framing"
"bst",40,16,2.1417215,"framing"
"bst",40,32,2.920004,"framing"
"bst",40,8,2.6256815,"gradual"
"bst",40,16,3.2991245,"gradual"
"bst",40,32,6.988269,"gradual"
"bst",41,8,5.679575,"dynamic"
"bst",41,16,14.250647,"dynamic"
"bst",41,32,93.3537415,"dynamic"
"bst",41,8,2.022901,"framing"
"bst",41,16,2.1396235,"framing"
"bst",41,32,3.118724,"framing"
"bst",41,8,2.575501,"gradual"
"bst",41,16,3.389204,"gradual"
"bst",41,32,7.398287,"gradual"
"bst",42,8,5.6198565,"dynamic"
"bst",42,16,14.307499,"dynamic"
"bst",42,32,94.7274475,"dynamic"
"bst",42,8,2.0931575,"framing"
"bst",42,16,2.24935,"framing"
"bst",42,32,2.9847695,"framing"
"bst",42,8,2.666251,"gradual"
"bst",42,16,3.408091,"gradual"
"bst",42,32,7.040819,"gradual"
"bst",43,8,5.7310505,"dynamic"
"bst",43,16,16.2058585,"dynamic"
"bst",43,32,96.978713,"dynamic"
"bst",43,8,2.0736525,"framing"
"bst",43,16,2.112258,"framing"
"bst",43,32,3.346424,"framing"
"bst",43,8,2.707187,"gradual"
"bst",43,16,3.8455835,"gradual"
"bst",43,32,8.0785555,"gradual"
"bst",44,8,6.200524,"dynamic"
"bst",44,16,18.0809625,"dynamic"
"bst",44,32,100.542712,"dynamic"
"bst",44,8,2.013678,"framing"
"bst",44,16,2.107837,"framing"
"bst",44,32,3.020915,"framing"
"bst",44,8,2.799793,"gradual"
"bst",44,16,3.9885995,"gradual"
"bst",44,32,8.737509,"gradual"
"bst",45,8,5.977273,"dynamic"
"bst",45,16,16.5526055,"dynamic"
"bst",45,32,102.073029,"dynamic"
"bst",45,8,2.0278275,"framing"
"bst",45,16,2.1885955,"framing"
"bst",45,32,3.009778,"framing"
"bst",45,8,2.7201885,"gradual"
"bst",45,16,3.940258,"gradual"
"bst",45,32,8.422586,"gradual"
"bst",46,8,5.8744255,"dynamic"
"bst",46,16,17.0799275,"dynamic"
"bst",46,32,100.3776065,"dynamic"
"bst",46,8,2.005379,"framing"
"bst",46,16,2.1327075,"framing"
"bst",46,32,3.0667495,"framing"
"bst",46,8,2.7835065,"gradual"
"bst",46,16,3.912387,"gradual"
"bst",46,32,8.662805,"gradual"
"bst",47,8,6.6472635,"dynamic"
"bst",47,16,16.5939145,"dynamic"
"bst",47,32,99.766701,"dynamic"
"bst",47,8,2.065843,"framing"
"bst",47,16,2.1373275,"framing"
"bst",47,32,2.9137945,"framing"
"bst",47,8,2.6953945,"gradual"
"bst",47,16,3.904971,"gradual"
"bst",47,32,8.43089,"gradual"
"bst",48,8,6.63368,"dynamic"
"bst",48,16,17.696081,"dynamic"
"bst",48,32,99.8152395,"dynamic"
"bst",48,8,2.065173,"framing"
"bst",48,16,2.439149,"framing"
"bst",48,32,3.3170685,"framing"
"bst",48,8,2.817798,"gradual"
"bst",48,16,3.9017435,"gradual"
"bst",48,32,8.9618415,"gradual"
"bst",49,8,6.3002235,"dynamic"
"bst",49,16,17.87901,"dynamic"
"bst",49,32,100.336533,"dynamic"
"bst",49,8,1.9891375,"framing"
"bst",49,16,2.107759,"framing"
"bst",49,32,2.921054,"framing"
"bst",49,8,2.803298,"gradual"
"bst",49,16,4.10504,"gradual"
"bst",49,32,8.958262,"gradual"
"bst",50,8,5.8892135,"dynamic"
"bst",50,16,16.372188,"dynamic"
"bst",50,32,99.900845,"dynamic"
"bst",50,8,1.984511,"framing"
"bst",50,16,2.2134875,"framing"
"bst",50,32,3.015234,"framing"
"bst",50,8,2.809514,"gradual"
"bst",50,16,3.970994,"gradual"
"bst",50,32,8.510109,"gradual"
"bst",51,8,6.190376,"dynamic"
"bst",51,16,16.476081,"dynamic"
"bst",51,32,99.7801235,"dynamic"
"bst",51,8,2.0857945,"framing"
"bst",51,16,2.1387925,"framing"
"bst",51,32,2.890019,"framing"
"bst",51,8,2.705569,"gradual"
"bst",51,16,4.170597,"gradual"
"bst",51,32,8.938928,"gradual"
"bst",52,8,6.246827,"dynamic"
"bst",52,16,16.344744,"dynamic"
"bst",52,32,100.3054665,"dynamic"
"bst",52,8,2.046385,"framing"
"bst",52,16,2.1564415,"framing"
"bst",52,32,2.999516,"framing"
"bst",52,8,2.742643,"gradual"
"bst",52,16,3.9093045,"gradual"
"bst",52,32,8.477021,"gradual"
"bst",53,8,5.900894,"dynamic"
"bst",53,16,16.593979,"dynamic"
"bst",53,32,100.360572,"dynamic"
"bst",53,8,2.0285425,"framing"
"bst",53,16,2.134435,"framing"
"bst",53,32,2.9369445,"framing"
"bst",53,8,2.816085,"gradual"
"bst",53,16,4.162347,"gradual"
"bst",53,32,8.9190035,"gradual"
"bst",54,8,5.983374,"dynamic"
"bst",54,16,16.6639355,"dynamic"
"bst",54,32,100.334514,"dynamic"
"bst",54,8,2.0523565,"framing"
"bst",54,16,2.142591,"framing"
"bst",54,32,2.978521,"framing"
"bst",54,8,2.680428,"gradual"
"bst",54,16,4.051359,"gradual"
"bst",54,32,8.671746,"gradual"
"bst",55,8,6.0763285,"dynamic"
"bst",55,16,16.5502315,"dynamic"
"bst",55,32,100.4071135,"dynamic"
"bst",55,8,2.093454,"framing"
"bst",55,16,2.1494185,"framing"
"bst",55,32,2.9450345,"framing"
"bst",55,8,2.802076,"gradual"
"bst",55,16,4.1797025,"gradual"
"bst",55,32,8.378257,"gradual"
"bst",56,8,5.9335775,"dynamic"
"bst",56,16,16.482146,"dynamic"
"bst",56,32,100.4819535,"dynamic"
"bst",56,8,2.0487,"framing"
"bst",56,16,2.115802,"framing"
"bst",56,32,2.963963,"framing"
"bst",56,8,2.854364,"gradual"
"bst",56,16,3.9811565,"gradual"
"bst",56,32,9.1262465,"gradual"
"bst",57,8,6.11707,"dynamic"
"bst",57,16,16.6174625,"dynamic"
"bst",57,32,99.4882145,"dynamic"
"bst",57,8,2.0264875,"framing"
"bst",57,16,2.14636,"framing"
"bst",57,32,2.935743,"framing"
"bst",57,8,2.8294895,"gradual"
"bst",57,16,4.163994,"gradual"
"bst",57,32,9.0278505,"gradual"
"bst",58,8,6.33408,"dynamic"
"bst",58,16,16.607175,"dynamic"
"bst",58,32,100.7488295,"dynamic"
"bst",58,8,2.1100025,"framing"
"bst",58,16,2.15372,"framing"
"bst",58,32,2.9707645,"framing"
"bst",58,8,2.840765,"gradual"
"bst",58,16,3.9535295,"gradual"
"bst",58,32,8.488024,"gradual"
"bst",59,8,6.003861,"dynamic"
"bst",59,16,16.9331975,"dynamic"
"bst",59,32,99.8252335,"dynamic"
"bst",59,8,1.9956185,"framing"
"bst",59,16,2.195081,"framing"
"bst",59,32,3.015206,"framing"
"bst",59,8,2.7925825,"gradual"
"bst",59,16,4.1721225,"gradual"
"bst",59,32,8.8771405,"gradual"
"bst",60,8,6.2008975,"dynamic"
"bst",60,16,16.591222,"dynamic"
"bst",60,32,100.6618125,"dynamic"
"bst",60,8,2.035862,"framing"
"bst",60,16,2.184537,"framing"
"bst",60,32,2.972362,"framing"
"bst",60,8,2.7877495,"gradual"
"bst",60,16,4.1255855,"gradual"
"bst",60,32,8.7239745,"gradual"
"bst",61,8,6.8744465,"dynamic"
"bst",61,16,18.913135,"dynamic"
"bst",61,32,119.438864,"dynamic"
"bst",61,8,2.0610675,"framing"
"bst",61,16,2.109484,"framing"
"bst",61,32,3.0221885,"framing"
"bst",61,8,3.167535,"gradual"
"bst",61,16,4.628737,"gradual"
"bst",61,32,11.790659,"gradual"
"bst",62,8,6.766374,"dynamic"
"bst",62,16,19.26763,"dynamic"
"bst",62,32,119.406767,"dynamic"
"bst",62,8,2.0686105,"framing"
"bst",62,16,2.1454185,"framing"
"bst",62,32,3.0764695,"framing"
"bst",62,8,3.1188045,"gradual"
"bst",62,16,4.883597,"gradual"
"bst",62,32,11.459732,"gradual"
"bst",63,8,6.913996,"dynamic"
"bst",63,16,19.472641,"dynamic"
"bst",63,32,120.183692,"dynamic"
"bst",63,8,2.034871,"framing"
"bst",63,16,2.0655945,"framing"
"bst",63,32,2.90883,"framing"
"bst",63,8,3.09597,"gradual"
"bst",63,16,4.752849,"gradual"
"bst",63,32,11.901869,"gradual"
"bst",64,8,7.1039275,"dynamic"
"bst",64,16,19.184389,"dynamic"
"bst",64,32,119.7710825,"dynamic"
"bst",64,8,2.034668,"framing"
"bst",64,16,2.1321375,"framing"
"bst",64,32,3.011422,"framing"
"bst",64,8,3.068233,"gradual"
"bst",64,16,4.849665,"gradual"
"bst",64,32,11.643313,"gradual"
"bst",65,8,7.1323575,"dynamic"
"bst",65,16,19.587814,"dynamic"
"bst",65,32,120.1460545,"dynamic"
"bst",65,8,2.061526,"framing"
"bst",65,16,2.16378,"framing"
"bst",65,32,2.891844,"framing"
"bst",65,8,3.1330085,"gradual"
"bst",65,16,4.7721045,"gradual"
"bst",65,32,11.7081235,"gradual"
"bst",66,8,7.0521675,"dynamic"
"bst",66,16,18.858153,"dynamic"
"bst",66,32,120.2769405,"dynamic"
"bst",66,8,2.0310005,"framing"
"bst",66,16,2.15005,"framing"
"bst",66,32,2.9376315,"framing"
"bst",66,8,3.025795,"gradual"
"bst",66,16,4.7461305,"gradual"
"bst",66,32,11.6727665,"gradual"
"bst",67,8,7.2802645,"dynamic"
"bst",67,16,19.591497,"dynamic"
"bst",67,32,119.9062725,"dynamic"
"bst",67,8,2.020998,"framing"
"bst",67,16,2.1398915,"framing"
"bst",67,32,2.946167,"framing"
"bst",67,8,3.0529705,"gradual"
"bst",67,16,4.9514635,"gradual"
"bst",67,32,11.5221995,"gradual"
"bst",68,8,6.8799755,"dynamic"
"bst",68,16,19.388166,"dynamic"
"bst",68,32,120.272747,"dynamic"
"bst",68,8,2.0528105,"framing"
"bst",68,16,2.1282515,"framing"
"bst",68,32,2.9379275,"framing"
"bst",68,8,3.027495,"gradual"
"bst",68,16,4.865445,"gradual"
"bst",68,32,11.3758335,"gradual"
"bst",69,8,7.179341,"dynamic"
"bst",69,16,19.871945,"dynamic"
"bst",69,32,129.2053445,"dynamic"
"bst",69,8,2.034775,"framing"
"bst",69,16,2.1164475,"framing"
"bst",69,32,3.0034535,"framing"
"bst",69,8,2.985194,"gradual"
"bst",69,16,4.5004095,"gradual"
"bst",69,32,11.5800515,"gradual"
"bst",70,8,7.4154955,"dynamic"
"bst",70,16,20.1981255,"dynamic"
"bst",70,32,128.304475,"dynamic"
"bst",70,8,2.012901,"framing"
"bst",70,16,2.124327,"framing"
"bst",70,32,2.8990745,"framing"
"bst",70,8,3.1257615,"gradual"
"bst",70,16,4.7072115,"gradual"
"bst",70,32,11.558685,"gradual"
"bst",71,8,7.137963,"dynamic"
"bst",71,16,20.373484,"dynamic"
"bst",71,32,128.469548,"dynamic"
"bst",71,8,2.02153,"framing"
"bst",71,16,2.129396,"framing"
"bst",71,32,2.943797,"framing"
"bst",71,8,3.18908,"gradual"
"bst",71,16,4.753119,"gradual"
"bst",71,32,12.1281425,"gradual"
"bst",72,8,7.0465845,"dynamic"
"bst",72,16,20.2773095,"dynamic"
"bst",72,32,128.2608825,"dynamic"
"bst",72,8,2.053253,"framing"
"bst",72,16,2.1541565,"framing"
"bst",72,32,2.9603155,"framing"
"bst",72,8,3.101543,"gradual"
"bst",72,16,4.9819475,"gradual"
"bst",72,32,11.6443015,"gradual"
"bst",73,8,7.1884155,"dynamic"
"bst",73,16,20.1143565,"dynamic"
"bst",73,32,128.331394,"dynamic"
"bst",73,8,2.0009055,"framing"
"bst",73,16,2.162637,"framing"
"bst",73,32,2.9948755,"framing"
"bst",73,8,3.141592,"gradual"
"bst",73,16,5.031025,"gradual"
"bst",73,32,11.570872,"gradual"
"bst",74,8,7.197133,"dynamic"
"bst",74,16,20.23837,"dynamic"
"bst",74,32,128.6398425,"dynamic"
"bst",74,8,2.0425825,"framing"
"bst",74,16,2.1292255,"framing"
"bst",74,32,2.978509,"framing"
"bst",74,8,3.116725,"gradual"
"bst",74,16,4.6703475,"gradual"
"bst",74,32,11.839882,"gradual"
"bst",75,8,7.146446,"dynamic"
"bst",75,16,19.9602915,"dynamic"
"bst",75,32,128.8265805,"dynamic"
"bst",75,8,1.991613,"framing"
"bst",75,16,2.099901,"framing"
"bst",75,32,3.030108,"framing"
"bst",75,8,3.168733,"gradual"
"bst",75,16,4.9547445,"gradual"
"bst",75,32,11.643468,"gradual"
"bst",76,8,7.875027,"dynamic"
"bst",76,16,20.866545,"dynamic"
"bst",76,32,135.293461,"dynamic"
"bst",76,8,2.024496,"framing"
"bst",76,16,2.1245665,"framing"
"bst",76,32,2.97593,"framing"
"bst",76,8,3.1700015,"gradual"
"bst",76,16,5.038324,"gradual"
"bst",76,32,12.309534,"gradual"
"bst",77,8,7.4099435,"dynamic"
"bst",77,16,21.145226,"dynamic"
"bst",77,32,135.364158,"dynamic"
"bst",77,8,2.084978,"framing"
"bst",77,16,2.114054,"framing"
"bst",77,32,2.969813,"framing"
"bst",77,8,3.075778,"gradual"
"bst",77,16,4.950197,"gradual"
"bst",77,32,11.7573295,"gradual"
"bst",78,8,7.364777,"dynamic"
"bst",78,16,21.300029,"dynamic"
"bst",78,32,135.1952415,"dynamic"
"bst",78,8,2.034138,"framing"
"bst",78,16,2.1372965,"framing"
"bst",78,32,2.948136,"framing"
"bst",78,8,3.1664405,"gradual"
"bst",78,16,4.8414295,"gradual"
"bst",78,32,12.091703,"gradual"
"bst",79,8,7.3484415,"dynamic"
"bst",79,16,21.3701095,"dynamic"
"bst",79,32,135.327194,"dynamic"
"bst",79,8,2.012857,"framing"
"bst",79,16,2.133945,"framing"
"bst",79,32,3.3386825,"framing"
"bst",79,8,3.064848,"gradual"
"bst",79,16,4.947639,"gradual"
"bst",79,32,11.982379,"gradual"
"bst",80,8,7.511009,"dynamic"
"bst",80,16,21.036265,"dynamic"
"bst",80,32,136.3943635,"dynamic"
